Community,LocationDay,FrequencyDay
C22,VACANT LOT/LAND,3
C22,MEDICAL/DENTAL OFFICE,3
C22,VEHICLE - OTHER RIDE SERVICE,2
C22,FACTORY/MANUFACTURING BUILDING,2
C22,CURRENCY EXCHANGE,2
C22,FIRE STATION,2
C22,HOTEL/MOTEL,2
C22,BARBERSHOP,2
C22,APPLIANCE STORE,2
C22,VEHICLE-COMMERCIAL,2
C22,OTHER COMMERCIAL TRANSPORTATION,2
C22,CTA GARAGE / OTHER PROPERTY,2
C22,TAXICAB,2
C22,LIBRARY,1
C22,HOSPITAL BUILDING/GROUNDS,1
C22,"SCHOOL, PRIVATE, GROUNDS",1
C22,ABANDONED BUILDING,1
C22,COIN OPERATED MACHINE,1
C22,CLEANING STORE,1
C22,CHA PARKING LOT/GROUNDS,1
C22,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C22,HIGHWAY/EXPRESSWAY,1
C22,CAR WASH,1
C22,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C23,STREET,1300
C23,SIDEWALK,970
C23,RESIDENCE,815
C23,APARTMENT,719
C23,OTHER,187
C23,ALLEY,187
C23,RESIDENTIAL YARD (FRONT/BACK),159
C23,PARKING LOT/GARAGE(NON.RESID.),131
C23,"SCHOOL, PUBLIC, BUILDING",121
C23,RESIDENCE PORCH/HALLWAY,117
C23,SMALL RETAIL STORE,108
C23,VEHICLE NON-COMMERCIAL,97
C23,RESIDENCE-GARAGE,87
C23,GAS STATION,68
C23,RESTAURANT,58
C23,VACANT LOT/LAND,51
C23,DEPARTMENT STORE,50
C23,CONVENIENCE STORE,45
C23,GROCERY FOOD STORE,43
C23,"SCHOOL, PUBLIC, GROUNDS",39
C23,PARK PROPERTY,27
C23,ABANDONED BUILDING,27
C23,DRUG STORE,26
C23,COMMERCIAL / BUSINESS OFFICE,24
C23,CTA BUS,21
C23,"SCHOOL, PRIVATE, BUILDING",20
C23,BANK,19
C23,GOVERNMENT BUILDING/PROPERTY,16
C23,DRIVEWAY - RESIDENTIAL,12
C23,WAREHOUSE,10
C23,TAVERN/LIQUOR STORE,10
C23,LIBRARY,10
C23,"SCHOOL, PRIVATE, GROUNDS",10
C23,CTA BUS STOP,9
C23,CHA APARTMENT,8
C23,CONSTRUCTION SITE,7
C23,APPLIANCE STORE,7
C23,VEHICLE-COMMERCIAL,7
C23,MEDICAL/DENTAL OFFICE,7
C23,CURRENCY EXCHANGE,7
C23,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7
C23,HOTEL/MOTEL,6
C23,NURSING HOME/RETIREMENT HOME,6
C23,FACTORY/MANUFACTURING BUILDING,6
C23,DAY CARE CENTER,6
C23,COIN OPERATED MACHINE,5
C23,ATM (AUTOMATIC TELLER MACHINE),5
C23,BARBERSHOP,4
C23,SPORTS ARENA/STADIUM,4
C23,CTA GARAGE / OTHER PROPERTY,3
C23,HOSPITAL BUILDING/GROUNDS,3
C23,CLEANING STORE,3
C23,CHA HALLWAY/STAIRWELL/ELEVATOR,3
C23,CTA TRAIN,2
C23,TAXICAB,2
C23,PAWN SHOP,2
C23,CAR WASH,2
C23,ATHLETIC CLUB,2
C23,OTHER RAILROAD PROP / TRAIN DEPOT,2
C23,FIRE STATION,1
C23,CHA PARKING LOT/GROUNDS,1
C23,POLICE FACILITY/VEH PARKING LOT,1
C23,OTHER COMMERCIAL TRANSPORTATION,1
C23,HOUSE,1
C23,VEHICLE - OTHER RIDE SERVICE,1
C23,YARD,1
C24,STREET,1654
C24,RESIDENCE,631
C24,APARTMENT,539
C24,OTHER,309
C24,SIDEWALK,242
C24,SMALL RETAIL STORE,213
C24,RESIDENCE-GARAGE,179
C24,PARKING LOT/GARAGE(NON.RESID.),161
C24,RESTAURANT,141
C24,RESIDENCE PORCH/HALLWAY,137
C24,RESIDENTIAL YARD (FRONT/BACK),116
C24,"SCHOOL, PUBLIC, BUILDING",101
C24,ALLEY,101
C24,VEHICLE NON-COMMERCIAL,97
C24,GROCERY FOOD STORE,90
C24,PARK PROPERTY,68
C24,HOSPITAL BUILDING/GROUNDS,52
C24,CTA TRAIN,48
C24,DRUG STORE,47
C24,DEPARTMENT STORE,43
C24,COMMERCIAL / BUSINESS OFFICE,42
C24,CONVENIENCE STORE,29
C24,GAS STATION,29
C24,"SCHOOL, PUBLIC, GROUNDS",27
C24,CTA STATION,25
C24,BANK,25
C24,CONSTRUCTION SITE,25
C24,MEDICAL/DENTAL OFFICE,21
C24,"SCHOOL, PRIVATE, BUILDING",21
C24,CTA BUS,20
C24,BAR OR TAVERN,19
C24,CTA PLATFORM,18
C24,CHA APARTMENT,16
C24,ATHLETIC CLUB,14
C24,TAVERN/LIQUOR STORE,14
C24,HOTEL/MOTEL,13
C24,DRIVEWAY - RESIDENTIAL,12
C24,NURSING HOME/RETIREMENT HOME,11
C24,CHA PARKING LOT/GROUNDS,9
C24,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,8
C24,TAXICAB,7
C24,VEHICLE-COMMERCIAL,7
C24,GOVERNMENT BUILDING/PROPERTY,7
C24,WAREHOUSE,7
C24,"SCHOOL, PRIVATE, GROUNDS",6
C24,ATM (AUTOMATIC TELLER MACHINE),6
C24,SPORTS ARENA/STADIUM,5
C24,VACANT LOT/LAND,5
C24,LIBRARY,5
C24,BARBERSHOP,5
C24,CAR WASH,4
C24,CTA BUS STOP,4
C24,FACTORY/MANUFACTURING BUILDING,3
C24,COIN OPERATED MACHINE,3
C24,CLEANING STORE,3
C24,OTHER RAILROAD PROP / TRAIN DEPOT,3
C24,OTHER COMMERCIAL TRANSPORTATION,2
C24,ANIMAL HOSPITAL,2
C24,CURRENCY EXCHANGE,2
C24,DAY CARE CENTER,2
C24,APPLIANCE STORE,2
C24,CTA GARAGE / OTHER PROPERTY,1
C24,PAWN SHOP,1
C24,MOVIE HOUSE/THEATER,1
C24,VEHICLE - OTHER RIDE SERVICE,1
C24,VEHICLE - DELIVERY TRUCK,1
C24,ABANDONED BUILDING,1
C24,AUTO / BOAT / RV DEALERSHIP,1
C24,COLLEGE/UNIVERSITY GROUNDS,1
C25,STREET,2433
C25,RESIDENCE,1873
C25,APARTMENT,1546
C25,SIDEWALK,1427
C25,OTHER,344
C25,ALLEY,302
C25,PARKING LOT/GARAGE(NON.RESID.),249
C25,RESIDENTIAL YARD (FRONT/BACK),241
C25,RESIDENCE PORCH/HALLWAY,199
C25,SMALL RETAIL STORE,198
C25,VEHICLE NON-COMMERCIAL,194
C25,GAS STATION,171
C25,DEPARTMENT STORE,138
C25,"SCHOOL, PUBLIC, BUILDING",127
C25,RESIDENCE-GARAGE,112
C25,RESTAURANT,93
C25,CONVENIENCE STORE,88
C25,GROCERY FOOD STORE,73
C25,"SCHOOL, PUBLIC, GROUNDS",56
C25,PARK PROPERTY,52
C25,VACANT LOT/LAND,46
C25,DRUG STORE,44
C25,NURSING HOME/RETIREMENT HOME,43
C25,HOSPITAL BUILDING/GROUNDS,39
C25,CTA BUS,36
C25,COMMERCIAL / BUSINESS OFFICE,29
C25,CTA BUS STOP,26
C25,DRIVEWAY - RESIDENTIAL,24
C25,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,23
C25,ABANDONED BUILDING,21
C25,POLICE FACILITY/VEH PARKING LOT,19
C25,VEHICLE-COMMERCIAL,19
C25,CURRENCY EXCHANGE,18
C25,CTA TRAIN,17
C25,CTA PLATFORM,16
C25,TAVERN/LIQUOR STORE,16
C25,CTA STATION,16
C25,BANK,16
C25,"SCHOOL, PRIVATE, BUILDING",15
C25,ATM (AUTOMATIC TELLER MACHINE),13
C25,BARBERSHOP,13
C25,WAREHOUSE,12
C25,DAY CARE CENTER,9
C25,CAR WASH,8
C25,MEDICAL/DENTAL OFFICE,7
C25,LIBRARY,7
C25,TAXICAB,6
C25,FACTORY/MANUFACTURING BUILDING,5
C25,"SCHOOL, PRIVATE, GROUNDS",5
C25,VEHICLE - OTHER RIDE SERVICE,5
C25,ATHLETIC CLUB,4
C25,MOVIE HOUSE/THEATER,4
C25,AUTO,4
C25,CLEANING STORE,4
C25,APPLIANCE STORE,3
C25,GOVERNMENT BUILDING/PROPERTY,3
C25,BAR OR TAVERN,3
C25,CTA GARAGE / OTHER PROPERTY,3
C25,PORCH,3
C25,YARD,2
C25,ANIMAL HOSPITAL,1
C25,VEHICLE - DELIVERY TRUCK,1
C25,FEDERAL BUILDING,1
C25,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C25,CHURCH,1
C25,CHA APARTMENT,1
C25,COIN OPERATED MACHINE,1
C25,CHA PARKING LOT/GROUNDS,1
C25,POOL ROOM,1
C25,CONSTRUCTION SITE,1
C25,BASEMENT,1
C25,AIRPORT/AIRCRAFT,1
C25,OTHER COMMERCIAL TRANSPORTATION,1
C25,SPORTS ARENA/STADIUM,1
C26,STREET,880
C26,SIDEWALK,738
C26,APARTMENT,496
C26,RESIDENCE,442
C26,ALLEY,133
C26,OTHER,103
C26,GAS STATION,95
C26,RESIDENTIAL YARD (FRONT/BACK),89
C26,PARKING LOT/GARAGE(NON.RESID.),84
C26,VEHICLE NON-COMMERCIAL,81
C26,VACANT LOT/LAND,63
C26,RESIDENCE PORCH/HALLWAY,62
C26,SMALL RETAIL STORE,60
C26,GROCERY FOOD STORE,47
C26,CTA STATION,43
C26,RESTAURANT,41
C26,CTA PLATFORM,35
C26,CONVENIENCE STORE,31
C26,"SCHOOL, PUBLIC, BUILDING",24
C26,ABANDONED BUILDING,24
C26,CTA TRAIN,16
C26,DEPARTMENT STORE,14
C26,CTA BUS STOP,13
C26,CTA BUS,11
C26,PARK PROPERTY,11
C26,RESIDENCE-GARAGE,11
C26,BARBERSHOP,9
C26,TAVERN/LIQUOR STORE,8
C26,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,8
C26,"SCHOOL, PUBLIC, GROUNDS",7
C26,COMMERCIAL / BUSINESS OFFICE,7
C26,"SCHOOL, PRIVATE, BUILDING",6
C26,LIBRARY,6
C26,DRIVEWAY - RESIDENTIAL,6
C26,HOTEL/MOTEL,5
C26,CTA GARAGE / OTHER PROPERTY,4
C26,MEDICAL/DENTAL OFFICE,4
C26,APPLIANCE STORE,3
C26,TAXICAB,3
C26,"SCHOOL, PRIVATE, GROUNDS",3
C26,WAREHOUSE,3
C26,VACANT LOT,2
C26,OTHER COMMERCIAL TRANSPORTATION,2
C26,FACTORY/MANUFACTURING BUILDING,2
C26,CURRENCY EXCHANGE,2
C26,AUTO,2
C26,COIN OPERATED MACHINE,2
C26,HIGHWAY/EXPRESSWAY,1
C26,PARKING LOT,1
C26,GOVERNMENT BUILDING/PROPERTY,1
C26,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C26,CAR WASH,1
C26,PORCH,1
C26,DAY CARE CENTER,1
C26,ANIMAL HOSPITAL,1
C26,DRUG STORE,1
C26,CLEANING STORE,1
C26,YARD,1
C26,ATM (AUTOMATIC TELLER MACHINE),1
C26,FIRE STATION,1
C27,STREET,736
C27,APARTMENT,491
C27,SIDEWALK,466
C27,RESIDENCE,372
C27,"SCHOOL, PUBLIC, BUILDING",128
C27,OTHER,123
C27,ALLEY,100
C27,GAS STATION,93
C27,PARKING LOT/GARAGE(NON.RESID.),90
C27,RESIDENTIAL YARD (FRONT/BACK),83
C27,VEHICLE NON-COMMERCIAL,70
C27,RESIDENCE PORCH/HALLWAY,60
C27,PARK PROPERTY,45
C27,VACANT LOT/LAND,41
C27,POLICE FACILITY/VEH PARKING LOT,36
C27,CTA TRAIN,30
C27,"SCHOOL, PUBLIC, GROUNDS",21
C27,RESTAURANT,21
C27,SMALL RETAIL STORE,21
C27,GOVERNMENT BUILDING/PROPERTY,20
C27,CTA BUS,19
C27,CHA PARKING LOT/GROUNDS,19
C27,CTA STATION,17
C27,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,16
C27,COMMERCIAL / BUSINESS OFFICE,14
C27,CHA HALLWAY/STAIRWELL/ELEVATOR,14
C27,CONVENIENCE STORE,14
C27,CHA APARTMENT,13
C27,HOTEL/MOTEL,13
C27,RESIDENCE-GARAGE,12
C27,"SCHOOL, PRIVATE, BUILDING",12
C27,CTA BUS STOP,11
C27,CTA PLATFORM,9
C27,ABANDONED BUILDING,9
C27,GROCERY FOOD STORE,8
C27,NURSING HOME/RETIREMENT HOME,5
C27,"SCHOOL, PRIVATE, GROUNDS",5
C27,HOSPITAL BUILDING/GROUNDS,4
C27,TAVERN/LIQUOR STORE,4
C27,CONSTRUCTION SITE,4
C27,CTA GARAGE / OTHER PROPERTY,3
C27,DRUG STORE,3
C27,DRIVEWAY - RESIDENTIAL,3
C27,AUTO,3
C27,WAREHOUSE,3
C27,DEPARTMENT STORE,3
C27,VEHICLE-COMMERCIAL,3
C27,SPORTS ARENA/STADIUM,2
C27,CAR WASH,2
C27,DAY CARE CENTER,2
C27,CLEANING STORE,2
C27,HIGHWAY/EXPRESSWAY,2
C27,BRIDGE,1
C27,FACTORY/MANUFACTURING BUILDING,1
C27,BANK,1
C27,CURRENCY EXCHANGE,1
C27,ANIMAL HOSPITAL,1
C27,CTA TRACKS - RIGHT OF WAY,1
C27,ATM (AUTOMATIC TELLER MACHINE),1
C27,JAIL / LOCK-UP FACILITY,1
C27,BARBERSHOP,1
C27,OTHER COMMERCIAL TRANSPORTATION,1
C27,TAXICAB,1
C28,STREET,1559
C28,PARKING LOT/GARAGE(NON.RESID.),497
C28,OTHER,468
C28,RESIDENCE,452
C28,SIDEWALK,386
C28,APARTMENT,371
C28,RESTAURANT,321
C28,SMALL RETAIL STORE,244
C28,GROCERY FOOD STORE,205
C28,DEPARTMENT STORE,190
C28,HOSPITAL BUILDING/GROUNDS,104
C28,COMMERCIAL / BUSINESS OFFICE,96
C28,VEHICLE NON-COMMERCIAL,90
C28,GOVERNMENT BUILDING/PROPERTY,88
C28,GAS STATION,78
C28,"SCHOOL, PUBLIC, BUILDING",76
C28,RESIDENCE-GARAGE,73
C28,OTHER RAILROAD PROP / TRAIN DEPOT,73
C28,RESIDENTIAL YARD (FRONT/BACK),66
C28,BANK,62
C28,CHA APARTMENT,58
C28,ALLEY,57
C28,CONSTRUCTION SITE,54
C28,RESIDENCE PORCH/HALLWAY,54
C28,DRUG STORE,54
C28,CONVENIENCE STORE,53
C28,PARK PROPERTY,45
C28,CTA TRAIN,43
C28,OTHER COMMERCIAL TRANSPORTATION,43
C28,CHA PARKING LOT/GROUNDS,36
C28,CTA BUS,30
C28,ATHLETIC CLUB,30
C28,CTA STATION,26
C28,"SCHOOL, PUBLIC, GROUNDS",24
C28,CURRENCY EXCHANGE,23
C28,CTA PLATFORM,23
C28,BAR OR TAVERN,21
C28,HOTEL/MOTEL,20
C28,SPORTS ARENA/STADIUM,20
C28,WAREHOUSE,18
C28,POLICE FACILITY/VEH PARKING LOT,18
C28,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,17
C28,MEDICAL/DENTAL OFFICE,15
C28,JAIL / LOCK-UP FACILITY,13
C28,"SCHOOL, PRIVATE, BUILDING",12
C28,VEHICLE-COMMERCIAL,11
C28,CHA HALLWAY/STAIRWELL/ELEVATOR,11
C28,COLLEGE/UNIVERSITY GROUNDS,10
C28,VACANT LOT/LAND,10
C28,"SCHOOL, PRIVATE, GROUNDS",9
C28,TAXICAB,8
C28,CTA BUS STOP,8
C28,TAVERN/LIQUOR STORE,7
C28,ATM (AUTOMATIC TELLER MACHINE),6
C28,LIBRARY,6
C28,BARBERSHOP,5
C28,CTA GARAGE / OTHER PROPERTY,5
C28,NURSING HOME/RETIREMENT HOME,5
C28,VEHICLE - OTHER RIDE SERVICE,5
C28,ABANDONED BUILDING,4
C28,FEDERAL BUILDING,4
C28,CLEANING STORE,3
C28,APPLIANCE STORE,3
C28,FACTORY/MANUFACTURING BUILDING,3
C28,BOAT/WATERCRAFT,2
C28,VEHICLE - DELIVERY TRUCK,2
C28,DAY CARE CENTER,1
C28,CTA TRACKS - RIGHT OF WAY,1
C28,COLLEGE/UNIVERSITY RESIDENCE HALL,1
C28,PAWN SHOP,1
C28,PARKING LOT,1
C28,HIGHWAY/EXPRESSWAY,1
C28,BRIDGE,1
C28,CAR WASH,1
C29,STREET,1307
C29,SIDEWALK,1101
C29,APARTMENT,936
C29,RESIDENCE,819
C29,POLICE FACILITY/VEH PARKING LOT,273
C29,ALLEY,233
C29,OTHER,196
C29,RESIDENTIAL YARD (FRONT/BACK),169
C29,PARKING LOT/GARAGE(NON.RESID.),141
C29,RESIDENCE PORCH/HALLWAY,138
C29,GAS STATION,126
C29,VEHICLE NON-COMMERCIAL,106
C29,"SCHOOL, PUBLIC, BUILDING",94
C29,PARK PROPERTY,88
C29,VACANT LOT/LAND,69
C29,SMALL RETAIL STORE,64
C29,HOSPITAL BUILDING/GROUNDS,59
C29,CTA TRAIN,47
C29,CONVENIENCE STORE,45
C29,GROCERY FOOD STORE,43
C29,RESTAURANT,42
C29,"SCHOOL, PUBLIC, GROUNDS",29
C29,RESIDENCE-GARAGE,28
C29,ABANDONED BUILDING,28
C29,"SCHOOL, PRIVATE, BUILDING",22
C29,CTA BUS,22
C29,DRUG STORE,20
C29,CTA PLATFORM,17
C29,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,17
C29,COMMERCIAL / BUSINESS OFFICE,15
C29,CTA BUS STOP,14
C29,CTA STATION,13
C29,DEPARTMENT STORE,10
C29,TAVERN/LIQUOR STORE,10
C29,"SCHOOL, PRIVATE, GROUNDS",9
C29,GOVERNMENT BUILDING/PROPERTY,7
C29,CHA APARTMENT,6
C29,CONSTRUCTION SITE,6
C29,CHA PARKING LOT/GROUNDS,6
C29,VEHICLE-COMMERCIAL,5
C29,TAXICAB,5
C29,LIBRARY,5
C29,CHA HALLWAY/STAIRWELL/ELEVATOR,5
C29,NURSING HOME/RETIREMENT HOME,4
C29,DRIVEWAY - RESIDENTIAL,4
C29,ATHLETIC CLUB,4
C29,FACTORY/MANUFACTURING BUILDING,4
C29,WAREHOUSE,4
C29,CAR WASH,3
C29,SPORTS ARENA/STADIUM,3
C29,MEDICAL/DENTAL OFFICE,3
C29,DAY CARE CENTER,3
C29,CURRENCY EXCHANGE,3
C29,ATM (AUTOMATIC TELLER MACHINE),3
C29,OTHER COMMERCIAL TRANSPORTATION,2
C29,CTA GARAGE / OTHER PROPERTY,2
C29,VEHICLE - OTHER RIDE SERVICE,2
C29,BANK,2
C29,AUTO,2
C29,CLEANING STORE,2
C29,JAIL / LOCK-UP FACILITY,2
C29,FIRE STATION,2
C29,POOL ROOM,1
C29,BARBERSHOP,1
C29,APPLIANCE STORE,1
C29,NURSING HOME,1
C29,BAR OR TAVERN,1
C29,COIN OPERATED MACHINE,1
C3,APARTMENT,415
C3,STREET,402
C3,RESIDENCE,308
C3,SIDEWALK,242
C3,OTHER,180
C3,PARKING LOT/GARAGE(NON.RESID.),96
C3,RESTAURANT,85
C3,SMALL RETAIL STORE,78
C3,RESIDENCE PORCH/HALLWAY,70
C3,GROCERY FOOD STORE,69
C3,PARK PROPERTY,49
C3,DEPARTMENT STORE,45
C3,NURSING HOME/RETIREMENT HOME,35
C3,HOSPITAL BUILDING/GROUNDS,35
C3,VEHICLE NON-COMMERCIAL,34
C3,RESIDENTIAL YARD (FRONT/BACK),29
C3,ALLEY,24
C3,BANK,22
C3,COMMERCIAL / BUSINESS OFFICE,21
C3,"SCHOOL, PUBLIC, BUILDING",20
C3,RESIDENCE-GARAGE,20
C3,CONVENIENCE STORE,15
C3,LAKEFRONT/WATERFRONT/RIVERBANK,15
C3,CTA BUS,13
C3,CTA TRAIN,13
C3,HOTEL/MOTEL,12
C3,"SCHOOL, PUBLIC, GROUNDS",12
C3,DRUG STORE,10
C3,COLLEGE/UNIVERSITY GROUNDS,9
C3,TAXICAB,9
C3,ATM (AUTOMATIC TELLER MACHINE),8
C3,GOVERNMENT BUILDING/PROPERTY,8
C3,MEDICAL/DENTAL OFFICE,8
C3,GAS STATION,6
C3,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6
C3,COIN OPERATED MACHINE,6
C3,CTA PLATFORM,6
C3,CURRENCY EXCHANGE,5
C3,TAVERN/LIQUOR STORE,5
C3,CTA STATION,5
C3,BAR OR TAVERN,5
C3,LIBRARY,5
C3,CTA BUS STOP,4
C3,CONSTRUCTION SITE,4
C3,APPLIANCE STORE,4
C3,BARBERSHOP,4
C3,VACANT LOT/LAND,4
C3,DRIVEWAY - RESIDENTIAL,3
C3,WAREHOUSE,3
C3,CHA APARTMENT,2
C3,FEDERAL BUILDING,2
C3,CHA PARKING LOT/GROUNDS,2
C3,"SCHOOL, PRIVATE, BUILDING",2
C3,VEHICLE-COMMERCIAL,2
C3,SPORTS ARENA/STADIUM,2
C3,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C3,ATHLETIC CLUB,1
C3,ANIMAL HOSPITAL,1
C3,FIRE STATION,1
C3,CTA TRACKS - RIGHT OF WAY,1
C3,RETAIL STORE,1
C3,POOL ROOM,1
C3,PAWN SHOP,1
C3,BRIDGE,1
C3,FACTORY/MANUFACTURING BUILDING,1
C3,VEHICLE - OTHER RIDE SERVICE,1
C30,STREET,828
C30,RESIDENCE,477
C30,APARTMENT,355
C30,SIDEWALK,311
C30,OTHER,134
C30,RESIDENTIAL YARD (FRONT/BACK),85
C30,ALLEY,80
C30,SMALL RETAIL STORE,74
C30,VEHICLE NON-COMMERCIAL,67
C30,PARKING LOT/GARAGE(NON.RESID.),62
C30,"SCHOOL, PUBLIC, BUILDING",56
C30,RESIDENCE PORCH/HALLWAY,45
C30,RESTAURANT,35
C30,DRUG STORE,35
C30,RESIDENCE-GARAGE,32
C30,JAIL / LOCK-UP FACILITY,22
C30,GROCERY FOOD STORE,21
C30,COMMERCIAL / BUSINESS OFFICE,21
C30,PARK PROPERTY,20
C30,BANK,19
C30,GOVERNMENT BUILDING/PROPERTY,18
C30,NURSING HOME/RETIREMENT HOME,17
C30,CONVENIENCE STORE,16
C30,"SCHOOL, PUBLIC, GROUNDS",16
C30,HOSPITAL BUILDING/GROUNDS,15
C30,DRIVEWAY - RESIDENTIAL,13
C30,CHA APARTMENT,12
C30,DEPARTMENT STORE,11
C30,"SCHOOL, PRIVATE, BUILDING",9
C30,TAVERN/LIQUOR STORE,9
C30,CURRENCY EXCHANGE,8
C30,PAWN SHOP,7
C30,VACANT LOT/LAND,7
C30,CTA BUS,7
C30,MEDICAL/DENTAL OFFICE,6
C30,BARBERSHOP,5
C30,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
C30,ATM (AUTOMATIC TELLER MACHINE),5
C30,CONSTRUCTION SITE,5
C30,FACTORY/MANUFACTURING BUILDING,4
C30,LIBRARY,4
C30,GAS STATION,4
C30,CHA HALLWAY/STAIRWELL/ELEVATOR,4
C30,WAREHOUSE,4
C30,CHA PARKING LOT/GROUNDS,4
C30,POLICE FACILITY/VEH PARKING LOT,3
C30,VEHICLE-COMMERCIAL,3
C30,SPORTS ARENA/STADIUM,3
C30,"SCHOOL, PRIVATE, GROUNDS",3
C30,FEDERAL BUILDING,3
C30,TAXICAB,2
C30,CTA STATION,2
C30,BAR OR TAVERN,2
C30,CTA BUS STOP,2
C30,OTHER RAILROAD PROP / TRAIN DEPOT,2
C30,GARAGE,1
C30,CTA PLATFORM,1
C30,VEHICLE - OTHER RIDE SERVICE,1
C30,CLEANING STORE,1
C30,DAY CARE CENTER,1
C30,ABANDONED BUILDING,1
C30,AUTO,1
C30,FIRE STATION,1
C31,STREET,353
C31,RESIDENCE,268
C31,APARTMENT,227
C31,SIDEWALK,137
C31,OTHER,100
C31,GROCERY FOOD STORE,67
C31,SMALL RETAIL STORE,61
C31,PARKING LOT/GARAGE(NON.RESID.),60
C31,"SCHOOL, PUBLIC, BUILDING",51
C31,RESIDENCE-GARAGE,49
C31,RESTAURANT,48
C31,ALLEY,36
C31,RESIDENCE PORCH/HALLWAY,28
C31,VEHICLE NON-COMMERCIAL,22
C31,RESIDENTIAL YARD (FRONT/BACK),19
C31,COMMERCIAL / BUSINESS OFFICE,17
C31,"SCHOOL, PUBLIC, GROUNDS",17
C31,PARK PROPERTY,16
C31,WAREHOUSE,15
C31,DEPARTMENT STORE,14
C31,GAS STATION,13
C31,ATHLETIC CLUB,10
C31,BANK,10
C31,CTA TRAIN,10
C31,"SCHOOL, PRIVATE, BUILDING",9
C31,CONVENIENCE STORE,8
C31,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7
C31,CURRENCY EXCHANGE,6
C31,CTA BUS STOP,5
C31,CTA BUS,5
C31,VEHICLE-COMMERCIAL,5
C31,CTA PLATFORM,4
C31,ABANDONED BUILDING,4
C31,CONSTRUCTION SITE,4
C31,BAR OR TAVERN,4
C31,GOVERNMENT BUILDING/PROPERTY,4
C31,FACTORY/MANUFACTURING BUILDING,3
C31,CHA APARTMENT,3
C31,DRUG STORE,3
C31,DAY CARE CENTER,3
C31,ATM (AUTOMATIC TELLER MACHINE),3
C31,BARBERSHOP,3
C31,OTHER COMMERCIAL TRANSPORTATION,3
C31,CTA STATION,3
C31,COIN OPERATED MACHINE,2
C31,OTHER RAILROAD PROP / TRAIN DEPOT,2
C31,COLLEGE/UNIVERSITY GROUNDS,2
C31,PAWN SHOP,2
C31,SPORTS ARENA/STADIUM,2
C31,NURSING HOME/RETIREMENT HOME,1
C31,MEDICAL/DENTAL OFFICE,1
C31,LIBRARY,1
C31,"SCHOOL, PRIVATE, GROUNDS",1
C31,AUTO,1
C31,TAVERN/LIQUOR STORE,1
C31,FIRE STATION,1
C31,POOL ROOM,1
C31,CTA GARAGE / OTHER PROPERTY,1
C31,TAXICAB,1
C31,BRIDGE,1
C31,CAR WASH,1
C32,RESTAURANT,1580
C32,DEPARTMENT STORE,960
C32,STREET,824
C32,SMALL RETAIL STORE,737
C32,OTHER,728
C32,SIDEWALK,549
C32,CTA TRAIN,389
C32,PARKING LOT/GARAGE(NON.RESID.),382
C32,PARK PROPERTY,285
C32,HOTEL/MOTEL,275
C32,CTA PLATFORM,226
C32,COMMERCIAL / BUSINESS OFFICE,207
C32,CTA STATION,165
C32,RESIDENCE,145
C32,BANK,110
C32,APARTMENT,108
C32,DRUG STORE,103
C32,LIBRARY,73
C32,ATHLETIC CLUB,67
C32,CONVENIENCE STORE,64
C32,GOVERNMENT BUILDING/PROPERTY,64
C32,GROCERY FOOD STORE,52
C32,BAR OR TAVERN,51
C32,CTA BUS,43
C32,COLLEGE/UNIVERSITY GROUNDS,42
C32,ATM (AUTOMATIC TELLER MACHINE),36
C32,VEHICLE NON-COMMERCIAL,35
C32,ALLEY,29
C32,RESIDENCE-GARAGE,29
C32,"SCHOOL, PUBLIC, BUILDING",28
C32,TAXICAB,27
C32,"SCHOOL, PRIVATE, BUILDING",25
C32,MOVIE HOUSE/THEATER,16
C32,MEDICAL/DENTAL OFFICE,15
C32,VEHICLE-COMMERCIAL,14
C32,CTA GARAGE / OTHER PROPERTY,13
C32,CONSTRUCTION SITE,12
C32,RESIDENCE PORCH/HALLWAY,12
C32,GAS STATION,11
C32,CTA BUS STOP,10
C32,TAVERN/LIQUOR STORE,9
C32,"SCHOOL, PUBLIC, GROUNDS",9
C32,FEDERAL BUILDING,9
C32,"SCHOOL, PRIVATE, GROUNDS",8
C32,COLLEGE/UNIVERSITY RESIDENCE HALL,7
C32,LAKEFRONT/WATERFRONT/RIVERBANK,7
C32,VEHICLE - OTHER RIDE SERVICE,6
C32,RESIDENTIAL YARD (FRONT/BACK),5
C32,BRIDGE,5
C32,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
C32,OTHER COMMERCIAL TRANSPORTATION,4
C32,SPORTS ARENA/STADIUM,4
