Community,Location,Frequency,Period
C51,BRIDGE,1,Day
C6,GROCERY FOOD STORE,190,Day
C49,RESTAURANT,44,Day
C2,OTHER COMMERCIAL TRANSPORTATION,1,Day
C28,CHA APARTMENT,58,Day
C38,CHA PARKING LOT/GROUNDS,13,Day
C59,GAS STATION,3,Day
C41,BAR OR TAVERN,3,Day
C53,DEPARTMENT STORE,9,Day
C22,COLLEGE/UNIVERSITY RESIDENCE HALL,1,Day
C3,CONVENIENCE STORE,15,Day
C74,NURSING HOME/RETIREMENT HOME,1,Day
C14,FOREST PRESERVE,1,Day
C68,COLLEGE/UNIVERSITY GROUNDS,4,Day
C26,"SCHOOL, PUBLIC, BUILDING",24,Day
C16,BANK,5,Day
C61,APPLIANCE STORE,2,Day
C34,DAY CARE CENTER,1,Day
C24,"SCHOOL, PRIVATE, BUILDING",21,Day
C35,BAR OR TAVERN,1,Day
C65,ATHLETIC CLUB,1,Day
C28,VEHICLE NON-COMMERCIAL,90,Day
C37,RESIDENCE PORCH/HALLWAY,7,Day
C2,RESTAURANT,36,Day
C23,PARKING LOT/GARAGE(NON.RESID.),131,Day
C22,MEDICAL/DENTAL OFFICE,3,Day
C21,APPLIANCE STORE,5,Day
C54,OTHER,23,Day
C71,PORCH,1,Day
C68,VEHICLE NON-COMMERCIAL,72,Day
C11,RESIDENTIAL YARD (FRONT/BACK),23,Day
C10,ATM (AUTOMATIC TELLER MACHINE),2,Day
C73,WAREHOUSE,2,Day
C28,OTHER,468,Day
C19,VACANT LOT,1,Day
C55,FACTORY/MANUFACTURING BUILDING,6,Day
C33,"SCHOOL, PUBLIC, GROUNDS",4,Day
C22,SPORTS ARENA/STADIUM,4,Day
C29,"SCHOOL, PRIVATE, GROUNDS",9,Day
C47,"SCHOOL, PUBLIC, GROUNDS",3,Day
C21,CONVENIENCE STORE,9,Day
C30,FIRE STATION,1,Day
C44,ANIMAL HOSPITAL,4,Day
C70,ATM (AUTOMATIC TELLER MACHINE),1,Day
C57,DRUG STORE,5,Day
C48,VEHICLE - OTHER RIDE SERVICE,1,Day
C29,CHA HALLWAY/STAIRWELL/ELEVATOR,5,Day
C5,RESIDENCE PORCH/HALLWAY,32,Day
C7,ATHLETIC CLUB,43,Day
C53,DRIVEWAY - RESIDENTIAL,9,Day
C39,HOSPITAL BUILDING/GROUNDS,1,Day
C14,PARK PROPERTY,17,Day
C72,STREET,119,Day
C19,ATM (AUTOMATIC TELLER MACHINE),5,Day
C16,CTA PLATFORM,5,Day
C54,PARK PROPERTY,8,Day
C59,ATM (AUTOMATIC TELLER MACHINE),2,Day
C11,COMMERCIAL / BUSINESS OFFICE,5,Day
C74,APARTMENT,16,Day
C1,LIBRARY,2,Day
C17,CTA BUS,3,Day
C76,AIRPORT TRANSPORTATION SYSTEM (ATS),7,Day
C60,RESTAURANT,20,Day
C30,GAS STATION,4,Day
C41,CONVENIENCE STORE,14,Day
C25,TAVERN/LIQUOR STORE,16,Day
C24,CTA GARAGE / OTHER PROPERTY,1,Day
C74,PARK PROPERTY,3,Day
C77,DRUG STORE,22,Day
C1,VEHICLE - OTHER RIDE SERVICE,1,Day
C48,SMALL RETAIL STORE,21,Day
C71,COMMERCIAL / BUSINESS OFFICE,13,Day
C43,SIDEWALK,506,Day
C56,BANK,8,Day
C61,BAR OR TAVERN,5,Day
C23,CLEANING STORE,3,Day
C31,BRIDGE,1,Day
C55,CONSTRUCTION SITE,3,Day
C75,CURRENCY EXCHANGE,1,Day
C63,RESIDENCE PORCH/HALLWAY,19,Day
C27,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,16,Day
C7,TAVERN/LIQUOR STORE,9,Day
C70,ALLEY,19,Day
C38,RESIDENCE-GARAGE,15,Day
C67,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,22,Day
C21,BAR OR TAVERN,1,Day
C39,GAS STATION,32,Day
C62,MEDICAL/DENTAL OFFICE,2,Day
C33,DEPARTMENT STORE,3,Day
C24,ANIMAL HOSPITAL,2,Day
C46,"SCHOOL, PUBLIC, BUILDING",50,Day
C21,CAR WASH,1,Day
C44,"SCHOOL, PRIVATE, BUILDING",3,Day
C25,ATHLETIC CLUB,4,Day
C8,MOVIE HOUSE/THEATER,12,Day
C49,TAXICAB,2,Day
C68,CHA APARTMENT,10,Day
C41,APPLIANCE STORE,1,Day
C24,OTHER RAILROAD PROP / TRAIN DEPOT,3,Day
C56,MEDICAL/DENTAL OFFICE,2,Day
C2,NURSING HOME/RETIREMENT HOME,25,Day
C32,RESIDENCE,145,Day
C55,BAR OR TAVERN,2,Day
C27,HOTEL/MOTEL,13,Day
C10,HOSPITAL BUILDING/GROUNDS,14,Day
C2,TAXICAB,4,Day
C67,HOTEL/MOTEL,4,Day
C66,"SCHOOL, PUBLIC, BUILDING",48,Day
C32,MOVIE HOUSE/THEATER,16,Day
C60,SAVINGS AND LOAN,1,Day
C5,PARKING LOT/GARAGE(NON.RESID.),18,Day
C4,MEDICAL/DENTAL OFFICE,1,Day
C30,ATM (AUTOMATIC TELLER MACHINE),5,Day
C51,VACANT LOT/LAND,4,Day
C44,GROCERY FOOD STORE,63,Day
C13,"SCHOOL, PUBLIC, GROUNDS",7,Day
C75,FACTORY/MANUFACTURING BUILDING,1,Day
C68,LIBRARY,4,Day
C77,RESIDENCE PORCH/HALLWAY,64,Day
C70,HOSPITAL BUILDING/GROUNDS,1,Day
C70,GAS STATION,20,Day
C4,SPORTS ARENA/STADIUM,2,Day
C28,WAREHOUSE,18,Day
C5,SIDEWALK,37,Day
C1,WAREHOUSE,1,Day
C53,BARBERSHOP,1,Day
C68,OTHER,109,Day
C60,OTHER COMMERCIAL TRANSPORTATION,1,Day
C34,APARTMENT,42,Day
C33,DRIVEWAY - RESIDENTIAL,1,Day
C75,POOL ROOM,1,Day
C27,CTA BUS STOP,11,Day
C73,BARBERSHOP,2,Day
C22,ABANDONED BUILDING,1,Day
C20,NURSING HOME/RETIREMENT HOME,1,Day
C52,STREET,172,Day
C8,"SCHOOL, PUBLIC, BUILDING",38,Day
C34,PARK PROPERTY,6,Day
C6,"SCHOOL, PRIVATE, BUILDING",9,Day
C30,ALLEY,80,Day
C22,POLICE FACILITY/VEH PARKING LOT,4,Day
C32,GOVERNMENT BUILDING/PROPERTY,64,Day
C49,OTHER COMMERCIAL TRANSPORTATION,5,Day
C61,CTA STATION,1,Day
C37,CTA BUS,3,Day
C59,PARKING LOT,1,Day
C63,PARKING LOT/GARAGE(NON.RESID.),55,Day
C3,APPLIANCE STORE,4,Day
C15,CONSTRUCTION SITE,3,Day
C8,VACANT LOT/LAND,2,Day
C51,RESIDENTIAL YARD (FRONT/BACK),47,Day
C8,HIGHWAY/EXPRESSWAY,1,Day
C28,SMALL RETAIL STORE,244,Day
C6,CTA GARAGE / OTHER PROPERTY,4,Day
C40,"SCHOOL, PRIVATE, GROUNDS",3,Day
C51,COMMERCIAL / BUSINESS OFFICE,8,Day
C23,SIDEWALK,970,Day
C27,ALLEY,100,Day
C17,"SCHOOL, PRIVATE, GROUNDS",2,Day
C67,ALLEY,118,Day
C22,OTHER,230,Day
C34,RESIDENTIAL YARD (FRONT/BACK),10,Day
C44,CAR WASH,5,Day
C54,"SCHOOL, PUBLIC, BUILDING",50,Day
C7,BOAT/WATERCRAFT,1,Day
C48,RESIDENTIAL YARD (FRONT/BACK),20,Day
C28,FEDERAL BUILDING,4,Day
C14,VACANT LOT/LAND,1,Day
C51,DRUG STORE,4,Day
C77,"SCHOOL, PRIVATE, GROUNDS",1,Day
C69,HIGHWAY/EXPRESSWAY,3,Day
C8,SIDEWALK,460,Day
C8,LAKEFRONT/WATERFRONT/RIVERBANK,16,Day
C53,FIRE STATION,1,Day
C56,WAREHOUSE,2,Day
C54,VACANT LOT/LAND,2,Day
C33,HOSPITAL BUILDING/GROUNDS,30,Day
C36,DRIVEWAY - RESIDENTIAL,3,Day
C62,APARTMENT,44,Day
C77,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C4,VEHICLE NON-COMMERCIAL,28,Day
C55,STREET,82,Day
C74,VACANT LOT/LAND,2,Day
C44,PAWN SHOP,1,Day
C14,VEHICLE-COMMERCIAL,4,Day
C10,HOUSE,1,Day
C38,POOL ROOM,1,Day
C24,CONVENIENCE STORE,29,Day
C75,GOVERNMENT BUILDING/PROPERTY,3,Day
C48,COMMERCIAL / BUSINESS OFFICE,4,Day
C46,CHA PARKING LOT/GROUNDS,8,Day
C48,TAVERN/LIQUOR STORE,5,Day
C66,CLEANING STORE,5,Day
C50,AUTO,1,Day
C42,SMALL RETAIL STORE,30,Day
C12,RESIDENCE-GARAGE,16,Day
C32,CTA TRAIN,389,Day
C5,RESTAURANT,22,Day
C39,BANK,5,Day
C56,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,4,Day
C32,RESIDENCE-GARAGE,29,Day
C42,DAY CARE CENTER,4,Day
C14,COMMERCIAL / BUSINESS OFFICE,6,Day
C32,"SCHOOL, PRIVATE, BUILDING",25,Day
C53,ALLEY,53,Day
C61,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6,Day
C68,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1,Day
C17,NURSING HOME/RETIREMENT HOME,3,Day
C41,HOTEL/MOTEL,2,Day
C22,VEHICLE NON-COMMERCIAL,58,Day
C9,GROCERY FOOD STORE,2,Day
C26,SIDEWALK,738,Day
C6,CTA PLATFORM,11,Day
C68,COMMERCIAL / BUSINESS OFFICE,7,Day
C30,MEDICAL/DENTAL OFFICE,6,Day
C70,AUTO,2,Day
C69,CEMETARY,2,Day
C7,CTA BUS,10,Day
C74,RESIDENTIAL YARD (FRONT/BACK),19,Day
C38,CONSTRUCTION SITE,2,Day
C58,BAR OR TAVERN,5,Day
C39,VEHICLE - DELIVERY TRUCK,1,Day
C6,CONVENIENCE STORE,40,Day
C8,CLEANING STORE,2,Day
C28,VEHICLE-COMMERCIAL,11,Day
C29,"SCHOOL, PUBLIC, BUILDING",94,Day
C41,"SCHOOL, PUBLIC, GROUNDS",8,Day
C37,"SCHOOL, PRIVATE, GROUNDS",1,Day
C42,VEHICLE - OTHER RIDE SERVICE,3,Day
C6,PAWN SHOP,2,Day
C38,FACTORY/MANUFACTURING BUILDING,1,Day
C56,VEHICLE - OTHER RIDE SERVICE,3,Day
C63,RESTAURANT,24,Day
C37,CHA HALLWAY/STAIRWELL/ELEVATOR,5,Day
C3,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6,Day
C56,LIBRARY,1,Day
C47,ALLEY,5,Day
C11,DRUG STORE,3,Day
C69,RESIDENCE,789,Day
C24,CAR WASH,4,Day
C13,ATM (AUTOMATIC TELLER MACHINE),2,Day
C39,MEDICAL/DENTAL OFFICE,1,Day
C24,CTA PLATFORM,18,Day
C62,PARK PROPERTY,4,Day
C25,SPORTS ARENA/STADIUM,1,Day
C67,ATM (AUTOMATIC TELLER MACHINE),5,Day
C14,CREDIT UNION,1,Day
C15,STREET,479,Day
C65,CTA BUS,6,Day
C26,CLEANING STORE,1,Day
C75,CTA BUS STOP,3,Day
C32,CTA GARAGE / OTHER PROPERTY,13,Day
C17,APARTMENT,72,Day
C10,BANK,6,Day
C24,CTA STATION,25,Day
C60,"SCHOOL, PUBLIC, BUILDING",6,Day
C3,HOTEL/MOTEL,12,Day
C56,SMALL RETAIL STORE,30,Day
C56,DRIVEWAY - RESIDENTIAL,7,Day
C25,CTA BUS,36,Day
C50,BANK,2,Day
C67,HOSPITAL BUILDING/GROUNDS,2,Day
C75,STREET,266,Day
C21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Day
C71,RESIDENCE PORCH/HALLWAY,92,Day
C62,VEHICLE NON-COMMERCIAL,10,Day
C46,RESIDENCE-GARAGE,46,Day
C28,COMMERCIAL / BUSINESS OFFICE,96,Day
C46,PARKING LOT/GARAGE(NON.RESID.),70,Day
C77,RESTAURANT,45,Day
C75,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6,Day
C70,MEDICAL/DENTAL OFFICE,7,Day
C69,GOVERNMENT BUILDING/PROPERTY,3,Day
C3,"SCHOOL, PUBLIC, GROUNDS",12,Day
C52,"SCHOOL, PRIVATE, BUILDING",3,Day
C46,SIDEWALK,310,Day
C59,BANK,4,Day
C12,"SCHOOL, PRIVATE, BUILDING",1,Day
C19,AUTO,1,Day
C33,ALLEY,5,Day
C23,"SCHOOL, PRIVATE, GROUNDS",10,Day
C11,RESIDENCE PORCH/HALLWAY,18,Day
C40,RESIDENCE,256,Day
C10,MEDICAL/DENTAL OFFICE,1,Day
C66,PARKING LOT/GARAGE(NON.RESID.),66,Day
C27,ANIMAL HOSPITAL,1,Day
C74,"SCHOOL, PUBLIC, BUILDING",10,Day
C54,RESIDENTIAL YARD (FRONT/BACK),16,Day
C23,CHA HALLWAY/STAIRWELL/ELEVATOR,3,Day
C38,CURRENCY EXCHANGE,10,Day
C38,APPLIANCE STORE,1,Day
C72,"SCHOOL, PRIVATE, BUILDING",1,Day
C65,SPORTS ARENA/STADIUM,1,Day
C21,"SCHOOL, PUBLIC, GROUNDS",5,Day
C10,CTA PLATFORM,1,Day
C30,PAWN SHOP,7,Day
C57,"SCHOOL, PRIVATE, GROUNDS",2,Day
C49,HIGHWAY/EXPRESSWAY,1,Day
C22,VEHICLE - OTHER RIDE SERVICE,2,Day
C61,BARBERSHOP,1,Day
C43,RESTAURANT,36,Day
C13,GAS STATION,3,Day
C42,APARTMENT,719,Day
C49,RESIDENCE,1508,Day
C27,HOSPITAL BUILDING/GROUNDS,4,Day
C19,MEDICAL/DENTAL OFFICE,3,Day
C35,CTA BUS STOP,4,Day
C8,PARKING LOT/GARAGE(NON.RESID.),469,Day
C34,VEHICLE-COMMERCIAL,1,Day
C42,PARK PROPERTY,26,Day
C72,RESIDENCE-GARAGE,17,Day
C44,CTA PLATFORM,18,Day
C42,CHA APARTMENT,2,Day
C73,GAS STATION,62,Day
C57,OTHER COMMERCIAL TRANSPORTATION,2,Day
C19,SPORTS ARENA/STADIUM,2,Day
C16,BARBERSHOP,1,Day
C45,CTA BUS,4,Day
C15,COIN OPERATED MACHINE,1,Day
C18,CONVENIENCE STORE,2,Day
C1,TAVERN/LIQUOR STORE,2,Day
C58,CONVENIENCE STORE,9,Day
C33,GAS STATION,25,Day
C40,"SCHOOL, PUBLIC, BUILDING",39,Day
C30,BANK,19,Day
C68,VEHICLE-COMMERCIAL,3,Day
C19,BANK,16,Day
C56,DEPARTMENT STORE,3,Day
C71,SIDEWALK,421,Day
C37,NURSING HOME/RETIREMENT HOME,2,Day
C39,ABANDONED BUILDING,1,Day
C61,HOTEL/MOTEL,6,Day
C63,CURRENCY EXCHANGE,3,Day
C42,VEHICLE NON-COMMERCIAL,60,Day
C51,RESIDENCE PORCH/HALLWAY,11,Day
C25,POLICE FACILITY/VEH PARKING LOT,19,Day
C35,GOVERNMENT BUILDING/PROPERTY,3,Day
C77,NURSING HOME/RETIREMENT HOME,23,Day
C26,PARKING LOT/GARAGE(NON.RESID.),84,Day
C66,RESIDENCE-GARAGE,145,Day
C50,MEDICAL/DENTAL OFFICE,1,Day
C77,TAXICAB,4,Day
C14,RESIDENTIAL YARD (FRONT/BACK),27,Day
C42,OTHER,88,Day
C38,BAR OR TAVERN,4,Day
C4,SMALL RETAIL STORE,30,Day
C68,RESIDENTIAL YARD (FRONT/BACK),93,Day
C1,ATHLETIC CLUB,2,Day
C71,DRUG STORE,28,Day
C7,ABANDONED BUILDING,2,Day
C76,WAREHOUSE,5,Day
C27,GROCERY FOOD STORE,8,Day
C43,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C58,FACTORY/MANUFACTURING BUILDING,3,Day
C20,RESIDENCE,236,Day
C11,CTA BUS,5,Day
C72,CTA GARAGE / OTHER PROPERTY,1,Day
C36,VEHICLE - OTHER RIDE SERVICE,1,Day
C5,"SCHOOL, PRIVATE, GROUNDS",2,Day
C31,DRUG STORE,3,Day
C30,CTA PLATFORM,1,Day
C6,CTA STATION,24,Day
C33,ATM (AUTOMATIC TELLER MACHINE),1,Day
C62,OTHER,37,Day
C18,APPLIANCE STORE,1,Day
C70,ABANDONED BUILDING,2,Day
C16,DRIVEWAY - RESIDENTIAL,10,Day
C2,"SCHOOL, PUBLIC, BUILDING",38,Day
C28,TAVERN/LIQUOR STORE,7,Day
C35,STREET,370,Day
C68,FEDERAL BUILDING,1,Day
C22,SMALL RETAIL STORE,134,Day
C16,WAREHOUSE,2,Day
C68,TAVERN/LIQUOR STORE,5,Day
C24,PAWN SHOP,1,Day
C62,SMALL RETAIL STORE,19,Day
C23,RESTAURANT,58,Day
C4,LIBRARY,9,Day
C76,DRIVEWAY - RESIDENTIAL,2,Day
C44,CTA STATION,42,Day
C76,SMALL RETAIL STORE,4,Day
C29,RESIDENCE,819,Day
C70,BANK,11,Day
C25,ABANDONED BUILDING,21,Day
C16,DEPARTMENT STORE,11,Day
C15,CTA BUS STOP,6,Day
C9,ALLEY,3,Day
C30,AUTO,1,Day
C76,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,38,Day
C22,PARK PROPERTY,22,Day
C41,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Day
C4,OTHER,109,Day
C52,RESIDENCE-GARAGE,26,Day
C27,ATM (AUTOMATIC TELLER MACHINE),1,Day
C22,CHA APARTMENT,11,Day
C32,CHA PARKING LOT/GROUNDS,3,Day
C53,GAS STATION,37,Day
C76,DEPARTMENT STORE,1,Day
C58,CONSTRUCTION SITE,2,Day
C28,ATHLETIC CLUB,30,Day
C38,CONVENIENCE STORE,22,Day
C20,"SCHOOL, PUBLIC, BUILDING",17,Day
C48,VEHICLE-COMMERCIAL,3,Day
C17,DAY CARE CENTER,2,Day
C61,"SCHOOL, PUBLIC, GROUNDS",24,Day
C22,LIBRARY,1,Day
C19,ABANDONED BUILDING,2,Day
C13,ALLEY,16,Day
C31,RESIDENCE PORCH/HALLWAY,28,Day
C15,GOVERNMENT BUILDING/PROPERTY,1,Day
C60,RESIDENCE,220,Day
C23,RESIDENCE,815,Day
C77,MOVIE HOUSE/THEATER,1,Day
C59,DRIVEWAY - RESIDENTIAL,1,Day
C33,SPORTS ARENA/STADIUM,26,Day
C44,"SCHOOL, PUBLIC, GROUNDS",22,Day
C8,CURRENCY EXCHANGE,11,Day
C58,"SCHOOL, PUBLIC, GROUNDS",16,Day
C44,BARBERSHOP,7,Day
C10,SMALL RETAIL STORE,7,Day
C62,CREDIT UNION,1,Day
C25,APARTMENT,1546,Day
C59,LIBRARY,5,Day
C30,DEPARTMENT STORE,11,Day
C61,HOSPITAL BUILDING/GROUNDS,2,Day
C32,CTA STATION,165,Day
C27,CAR WASH,2,Day
C25,PARK PROPERTY,52,Day
C28,DRUG STORE,54,Day
C7,OTHER,221,Day
C51,NURSING HOME/RETIREMENT HOME,3,Day
C1,SPORTS ARENA/STADIUM,3,Day
C20,CHA PARKING LOT/GROUNDS,1,Day
C63,GOVERNMENT BUILDING/PROPERTY,3,Day
C11,NURSING HOME/RETIREMENT HOME,1,Day
C30,SMALL RETAIL STORE,74,Day
C26,CURRENCY EXCHANGE,2,Day
C19,SMALL RETAIL STORE,91,Day
C62,VEHICLE-COMMERCIAL,1,Day
C56,GAS STATION,13,Day
C60,CTA TRAIN,8,Day
C14,PARKING LOT/GARAGE(NON.RESID.),43,Day
C39,DEPARTMENT STORE,4,Day
C49,CTA TRAIN,27,Day
C77,"SCHOOL, PUBLIC, BUILDING",30,Day
C67,BANK,9,Day
C71,NURSING HOME/RETIREMENT HOME,5,Day
C75,"SCHOOL, PRIVATE, BUILDING",5,Day
C41,ALLEY,9,Day
C31,"SCHOOL, PRIVATE, GROUNDS",1,Day
C38,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,10,Day
C10,WAREHOUSE,2,Day
C33,MEDICAL/DENTAL OFFICE,5,Day
C4,COMMERCIAL / BUSINESS OFFICE,9,Day
C29,CHA PARKING LOT/GROUNDS,6,Day
C32,BAR OR TAVERN,51,Day
C74,PARKING LOT/GARAGE(NON.RESID.),9,Day
C73,MEDICAL/DENTAL OFFICE,2,Day
C35,ANIMAL HOSPITAL,1,Day
C70,FOREST PRESERVE,1,Day
C62,RESIDENTIAL YARD (FRONT/BACK),12,Day
C15,CTA TRAIN,1,Day
C25,VEHICLE NON-COMMERCIAL,194,Day
C6,BARBERSHOP,4,Day
C46,CURRENCY EXCHANGE,1,Day
C4,BRIDGE,1,Day
C42,FEDERAL BUILDING,1,Day
C17,"SCHOOL, PUBLIC, BUILDING",24,Day
C69,CTA TRAIN,13,Day
C15,"SCHOOL, PRIVATE, BUILDING",10,Day
C30,VEHICLE - OTHER RIDE SERVICE,1,Day
C9,BANK,2,Day
C26,FACTORY/MANUFACTURING BUILDING,2,Day
C43,RESIDENCE,1036,Day
C38,HOTEL/MOTEL,14,Day
C51,RESTAURANT,21,Day
C70,DEPARTMENT STORE,16,Day
C2,RESIDENCE-GARAGE,65,Day
C45,OTHER,26,Day
C48,CTA BUS,13,Day
C68,DRUG STORE,10,Day
C67,CTA PLATFORM,7,Day
C52,POOL ROOM,1,Day
C4,RESIDENTIAL YARD (FRONT/BACK),33,Day
C19,VEHICLE - OTHER RIDE SERVICE,1,Day
C24,"SCHOOL, PUBLIC, GROUNDS",27,Day
C39,DRIVEWAY - RESIDENTIAL,4,Day
C51,OTHER COMMERCIAL TRANSPORTATION,1,Day
C62,COMMERCIAL / BUSINESS OFFICE,3,Day
C33,BANK,19,Day
C60,CHA PARKING LOT/GROUNDS,1,Day
C24,BARBERSHOP,5,Day
C14,CLEANING STORE,1,Day
C77,HIGHWAY/EXPRESSWAY,1,Day
C64,BARBERSHOP,1,Day
C40,RESIDENCE-GARAGE,4,Day
C39,VEHICLE - OTHER RIDE SERVICE,1,Day
C16,GAS STATION,12,Day
C10,DEPARTMENT STORE,2,Day
C45,APARTMENT,64,Day
C68,CTA BUS,30,Day
C1,CTA BUS,5,Day
C38,CTA BUS STOP,3,Day
C63,STREET,347,Day
C31,NURSING HOME/RETIREMENT HOME,1,Day
C33,POLICE FACILITY/VEH PARKING LOT,19,Day
C43,GOVERNMENT BUILDING/PROPERTY,4,Day
C14,SIDEWALK,102,Day
C34,PARKING LOT/GARAGE(NON.RESID.),27,Day
C4,TAVERN/LIQUOR STORE,2,Day
C76,ATHLETIC CLUB,11,Day
C31,TAXICAB,1,Day
C19,DEPARTMENT STORE,102,Day
C30,WAREHOUSE,4,Day
C29,CTA TRAIN,47,Day
C57,"SCHOOL, PUBLIC, BUILDING",33,Day
C70,WAREHOUSE,8,Day
C61,OTHER RAILROAD PROP / TRAIN DEPOT,3,Day
C70,VEHICLE - OTHER RIDE SERVICE,2,Day
C70,LIBRARY,3,Day
C35,GROCERY FOOD STORE,147,Day
C51,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C54,RESIDENCE PORCH/HALLWAY,6,Day
C66,FACTORY/MANUFACTURING BUILDING,3,Day
C14,DRUG STORE,1,Day
C73,VEHICLE - DELIVERY TRUCK,1,Day
C19,WAREHOUSE,5,Day
C41,ATM (AUTOMATIC TELLER MACHINE),6,Day
C10,DRIVEWAY - RESIDENTIAL,14,Day
C59,OTHER,37,Day
C64,"SCHOOL, PUBLIC, GROUNDS",1,Day
C22,TAVERN/LIQUOR STORE,4,Day
C7,VEHICLE NON-COMMERCIAL,55,Day
C37,VACANT LOT/LAND,3,Day
C52,CONVENIENCE STORE,3,Day
C43,STREET,1061,Day
C38,"SCHOOL, PUBLIC, GROUNDS",15,Day
C3,GROCERY FOOD STORE,69,Day
C27,CTA PLATFORM,9,Day
C7,DAY CARE CENTER,1,Day
C70,SMALL RETAIL STORE,50,Day
C31,RESTAURANT,48,Day
C50,DEPARTMENT STORE,79,Day
C28,CTA BUS,30,Day
C3,ALLEY,24,Day
C8,FACTORY/MANUFACTURING BUILDING,2,Day
C37,JAIL / LOCK-UP FACILITY,2,Day
C35,CTA GARAGE / OTHER PROPERTY,1,Day
C19,DRIVEWAY - RESIDENTIAL,10,Day
C60,RESIDENCE-GARAGE,29,Day
C31,OTHER COMMERCIAL TRANSPORTATION,3,Day
C42,COMMERCIAL / BUSINESS OFFICE,3,Day
C13,BANK,5,Day
C40,CHA PARKING LOT/GROUNDS,4,Day
C71,"SCHOOL, PRIVATE, GROUNDS",6,Day
C6,"SCHOOL, PUBLIC, GROUNDS",8,Day
C54,SIDEWALK,51,Day
C69,CHA PARKING LOT/GROUNDS,6,Day
C72,BAR OR TAVERN,2,Day
C66,CONSTRUCTION SITE,1,Day
C20,PARKING LOT/GARAGE(NON.RESID.),30,Day
C71,TAXICAB,2,Day
C49,RESIDENCE-GARAGE,131,Day
C18,CTA BUS STOP,1,Day
C25,DAY CARE CENTER,9,Day
C65,DAY CARE CENTER,1,Day
C30,LIBRARY,4,Day
C25,CHA APARTMENT,1,Day
C21,ALLEY,31,Day
C69,RESIDENCE-GARAGE,27,Day
C75,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C65,NURSING HOME/RETIREMENT HOME,4,Day
C11,"SCHOOL, PRIVATE, GROUNDS",1,Day
C1,POLICE FACILITY/VEH PARKING LOT,7,Day
C7,COLLEGE/UNIVERSITY GROUNDS,13,Day
C4,VEHICLE-COMMERCIAL,2,Day
C13,MEDICAL/DENTAL OFFICE,1,Day
C70,VEHICLE NON-COMMERCIAL,19,Day
C59,VEHICLE NON-COMMERCIAL,7,Day
C12,BAR OR TAVERN,1,Day
C52,APPLIANCE STORE,1,Day
C54,PARKING LOT/GARAGE(NON.RESID.),29,Day
C42,RESIDENTIAL YARD (FRONT/BACK),58,Day
C50,DRIVEWAY - RESIDENTIAL,3,Day
C19,VEHICLE NON-COMMERCIAL,38,Day
C8,CONSTRUCTION SITE,43,Day
C50,WAREHOUSE,3,Day
C2,PARKING LOT/GARAGE(NON.RESID.),80,Day
C15,GROCERY FOOD STORE,111,Day
C34,RESIDENCE PORCH/HALLWAY,7,Day
C63,RESIDENCE,366,Day
C71,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Day
C41,HOSPITAL BUILDING/GROUNDS,34,Day
C55,GROCERY FOOD STORE,8,Day
C13,SPORTS ARENA/STADIUM,2,Day
C25,OTHER,344,Day
C61,ATM (AUTOMATIC TELLER MACHINE),4,Day
C45,PARK PROPERTY,7,Day
C48,DRUG STORE,1,Day
C22,VEHICLE-COMMERCIAL,2,Day
C75,GROCERY FOOD STORE,29,Day
C65,COLLEGE/UNIVERSITY GROUNDS,2,Day
C69,"SCHOOL, PRIVATE, BUILDING",9,Day
C46,POOL ROOM,1,Day
C17,VACANT LOT/LAND,1,Day
C32,CONVENIENCE STORE,64,Day
C59,WAREHOUSE,5,Day
C27,BANK,1,Day
C72,CONVENIENCE STORE,1,Day
C50,SMALL RETAIL STORE,21,Day
C20,RESIDENCE-GARAGE,38,Day
C39,SMALL RETAIL STORE,25,Day
C65,APARTMENT,56,Day
C40,CTA TRAIN,3,Day
C5,RESIDENCE,140,Day
C73,AUTO,2,Day
C74,SIDEWALK,12,Day
C53,ABANDONED BUILDING,6,Day
C65,PARK PROPERTY,10,Day
C42,VEHICLE-COMMERCIAL,2,Day
C22,COMMERCIAL / BUSINESS OFFICE,29,Day
C61,ALLEY,76,Day
C3,ATM (AUTOMATIC TELLER MACHINE),8,Day
C8,CTA TRACKS - RIGHT OF WAY,1,Day
C58,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5,Day
C18,STREET,62,Day
C34,SIDEWALK,50,Day
C39,CHA APARTMENT,4,Day
C49,CHA PARKING LOT/GROUNDS,19,Day
C14,RESIDENCE PORCH/HALLWAY,51,Day
C2,CLEANING STORE,2,Day
